%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1597380896817402623,0,1596774716235275983,gps_copy,2,1,-6.87082915,107.57294114,863.658,2.89,0.0,0.0,0.0,2.89,0.0,0.0,0.0,11.56,1
1597380897015190465,1,1596774716436517000,gps_copy,2,1,-6.87082882667,107.572941138,863.631,3.24,0.0,0.0,0.0,3.24,0.0,0.0,0.0,12.96,1
1597380897214203882,2,1596774716635927915,gps_copy,2,1,-6.87082843167,107.572940892,863.546,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380897413887297,3,1596774716831362962,gps_copy,2,1,-6.87082844333,107.57294015,863.517,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380897615054178,4,1596774717036267042,gps_copy,2,1,-6.87082822,107.572939248,863.437,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380897818159148,5,1596774717238225936,gps_copy,2,1,-6.87082810833,107.57293795,863.343,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380898014551211,6,1596774717434389114,gps_copy,2,1,-6.87082781333,107.572936582,863.286,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380898217695207,7,1596774717638420104,gps_copy,2,1,-6.87082789167,107.572935288,863.325,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380898418209961,8,1596774717838957071,gps_copy,2,1,-6.87082771,107.572933795,863.327,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380898604530953,9,1596774718026129961,gps_copy,2,1,-6.870827535,107.572932082,863.342,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380898817162380,10,1596774718238260030,gps_copy,2,1,-6.87082719333,107.57293016,863.287,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380899021736992,11,1596774718442380905,gps_copy,2,1,-6.87082684833,107.572928935,863.326,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380899218620611,12,1596774718638614892,gps_copy,2,1,-6.87082652333,107.572927047,863.29,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380899414561610,13,1596774718835131883,gps_copy,2,1,-6.87082646667,107.572925203,863.33,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380899613131781,14,1596774719033200025,gps_copy,2,1,-6.87082625167,107.572923558,863.4,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380899816357389,15,1596774719236984014,gps_copy,2,1,-6.87082605,107.572921665,863.317,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380900021090687,16,1596774719441292047,gps_copy,2,1,-6.87082586167,107.57291982,863.3,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380900215228056,17,1596774719636218070,gps_copy,2,1,-6.87082599333,107.572917865,863.058,1.44,0.0,0.0,0.0,1.44,0.0,0.0,0.0,5.76,1
1597380900408927556,18,1596774719829303979,gps_copy,2,1,-6.870826145,107.572915733,862.905,7.84,0.0,0.0,0.0,7.84,0.0,0.0,0.0,31.36,1
1597380900614118411,19,1596774720035514116,gps_copy,2,1,-6.870826275,107.572913335,862.871,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380900808917123,20,1596774720230726003,gps_copy,2,1,-6.87082630667,107.572911153,862.867,1.44,0.0,0.0,0.0,1.44,0.0,0.0,0.0,5.76,1
1597380901007995536,21,1596774720430102109,gps_copy,2,1,-6.87082629667,107.572908908,862.789,1.44,0.0,0.0,0.0,1.44,0.0,0.0,0.0,5.76,1
1597380901208365147,22,1596774720630296945,gps_copy,2,1,-6.87082605167,107.572906795,862.706,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,196.0,1
1597380901413866742,23,1596774720833535909,gps_copy,2,1,-6.87082536833,107.57290497,862.601,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,196.0,1
1597380901604029914,24,1596774721025693893,gps_copy,2,1,-6.87082515167,107.572903185,862.499,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,196.0,1
1597380901805522684,25,1596774721227236032,gps_copy,2,1,-6.87082469833,107.572900955,862.376,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,196.0,1
1597380902011520093,26,1596774721433188915,gps_copy,2,1,-6.87082389833,107.572899173,862.248,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,196.0,1
1597380902214108444,27,1596774721633917093,gps_copy,2,1,-6.87082554333,107.57289603,862.636,8.41,0.0,0.0,0.0,8.41,0.0,0.0,0.0,33.64,1
1597380902411204924,28,1596774721830370903,gps_copy,2,1,-6.870825245,107.572893923,862.664,8.41,0.0,0.0,0.0,8.41,0.0,0.0,0.0,33.64,1
1597380902615478710,29,1596774722034895896,gps_copy,2,1,-6.87082512667,107.572891862,862.794,8.41,0.0,0.0,0.0,8.41,0.0,0.0,0.0,33.64,1
1597380902808817763,30,1596774722231003046,gps_copy,2,1,-6.87082506,107.57288971,862.72,8.41,0.0,0.0,0.0,8.41,0.0,0.0,0.0,33.64,1
1597380903015482588,31,1596774722435791969,gps_copy,2,1,-6.87082508667,107.57288744,862.663,6.76,0.0,0.0,0.0,6.76,0.0,0.0,0.0,27.04,1
1597380903216995045,32,1596774722635792016,gps_copy,2,1,-6.87082505667,107.5728853,862.661,6.76,0.0,0.0,0.0,6.76,0.0,0.0,0.0,27.04,1
1597380903414142769,33,1596774722835220098,gps_copy,2,1,-6.87082498667,107.5728832,862.685,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380903610603668,34,1596774723031091928,gps_copy,2,1,-6.87082458,107.572880825,862.723,1.44,0.0,0.0,0.0,1.44,0.0,0.0,0.0,5.76,1
1597380903814391483,35,1596774723235910892,gps_copy,2,1,-6.87082436,107.572878782,862.613,1.44,0.0,0.0,0.0,1.44,0.0,0.0,0.0,5.76,1
1597380904017785271,36,1596774723438411951,gps_copy,2,1,-6.87082424333,107.572876578,862.573,1.44,0.0,0.0,0.0,1.44,0.0,0.0,0.0,5.76,1
1597380904214645014,37,1596774723634932041,gps_copy,2,1,-6.87082412333,107.572874157,862.567,1.44,0.0,0.0,0.0,1.44,0.0,0.0,0.0,5.76,1
1597380904414566703,38,1596774723834731101,gps_copy,2,1,-6.87082387,107.572872128,862.527,6.76,0.0,0.0,0.0,6.76,0.0,0.0,0.0,27.04,1
1597380904607167200,39,1596774724028891086,gps_copy,2,1,-6.87082373667,107.572869925,862.537,6.76,0.0,0.0,0.0,6.76,0.0,0.0,0.0,27.04,1
1597380904817557268,40,1596774724237343072,gps_copy,2,1,-6.87082349833,107.572867757,862.549,6.76,0.0,0.0,0.0,6.76,0.0,0.0,0.0,27.04,1
1597380905009271136,41,1596774724430136919,gps_copy,2,1,-6.87082296333,107.572865773,862.532,6.76,0.0,0.0,0.0,6.76,0.0,0.0,0.0,27.04,1
1597380905225290048,42,1596774724646538972,gps_copy,2,1,-6.87082288333,107.572863668,862.481,7.29,0.0,0.0,0.0,7.29,0.0,0.0,0.0,29.16,1
1597380905419553082,43,1596774724838891983,gps_copy,2,1,-6.870822715,107.572861438,862.462,7.29,0.0,0.0,0.0,7.29,0.0,0.0,0.0,29.16,1
1597380905608413536,44,1596774725029732942,gps_copy,2,1,-6.87082242667,107.572859442,862.521,2.56,0.0,0.0,0.0,2.56,0.0,0.0,0.0,10.24,1
1597380905815316076,45,1596774725233712911,gps_copy,2,1,-6.87082206333,107.572857398,862.531,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380906017294677,46,1596774725437989950,gps_copy,2,1,-6.87082157667,107.572855222,862.665,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380906220014138,47,1596774725640067100,gps_copy,2,1,-6.87082122333,107.572853065,862.751,7.29,0.0,0.0,0.0,7.29,0.0,0.0,0.0,29.16,1
1597380906416524744,48,1596774725835611104,gps_copy,2,1,-6.87082075333,107.572850928,862.692,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,9.0,1
1597380906609794822,49,1596774726031069040,gps_copy,2,1,-6.87082034667,107.572848577,862.69,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380906817026252,50,1596774726237081050,gps_copy,2,1,-6.87082001667,107.57284646,862.712,1.96,0.0,0.0,0.0,1.96,0.0,0.0,0.0,7.84,1
1597380907014655967,51,1596774726434422969,gps_copy,2,1,-6.87081962333,107.57284451,862.711,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380907221097529,52,1596774726635756969,gps_copy,2,1,-6.870819155,107.572842265,862.675,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380907419687388,53,1596774726839725971,gps_copy,2,1,-6.87081885333,107.57284033,862.664,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380907609798619,54,1596774727030718088,gps_copy,2,1,-6.87081845833,107.572838263,862.636,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380907807674007,55,1596774727228368997,gps_copy,2,1,-6.87081833667,107.572836065,862.581,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380908017772883,56,1596774727438493967,gps_copy,2,1,-6.87081813333,107.572834008,862.571,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380908211799878,57,1596774727633260965,gps_copy,2,1,-6.87081776167,107.572832273,862.533,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380908408213234,58,1596774727829612016,gps_copy,2,1,-6.87081745333,107.57283004,862.488,1.69,0.0,0.0,0.0,1.69,0.0,0.0,0.0,6.76,1
1597380908607143713,59,1596774728028693914,gps_copy,2,1,-6.87081704,107.572828202,862.408,8.41,0.0,0.0,0.0,8.41,0.0,0.0,0.0,33.64,1
1597380908814526010,60,1596774728234906911,gps_copy,2,1,-6.87081683,107.572826085,862.43,6.76,0.0,0.0,0.0,6.76,0.0,0.0,0.0,27.04,1
