%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1597380896808170430,28319,1596774716229898929,imu_link,0.781488556075,0.606281422324,0.133787581132,-0.0616389227965,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.1,0.18,0.23,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.04522265625,0.732385625,-9.55701953125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896822922698,28320,1596774716244818925,imu_link,0.783663471264,0.60277059084,0.136431277865,-0.0626552874513,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.05,0.2,0.23,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.22716992187,0.646200078125,-9.7676953125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896842252282,28321,1596774716264436006,imu_link,0.785334936975,0.59964653725,0.138894018657,-0.0661930412631,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.13,0.33,0.19,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.43324914062,0.488384765625,-9.52369445312,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896862459141,28322,1596774716284349918,imu_link,0.786802502383,0.596504949012,0.141732801653,-0.0709611230354,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.16,0.34,0.16,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.35663976562,0.04290125,-9.51411828125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896883330833,28323,1596774716304306030,imu_link,0.788214253362,0.593675880685,0.14302632897,-0.0762280047638,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.1,0.32,0.12,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.10765929687,0.3018409375,-9.08778710937,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896902658532,28324,1596774716324640035,imu_link,0.789756947846,0.590951632569,0.144291193134,-0.0789948281685,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.09,0.26,0.11,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.681328125,0.20607921875,-10.078729375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896922366784,28325,1596774716344482898,imu_link,0.791518580918,0.588384564968,0.144106911627,-0.0808401990939,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.07,0.45,0.11,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.69090429687,-0.39760265625,-9.90635828125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896942545997,28326,1596774716364351987,imu_link,0.792654456155,0.586332235772,0.143373033724,-0.0857764281851,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.09,0.58,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.8728515625,-0.47421203125,-9.56659570312,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896962193930,28327,1596774716384358882,imu_link,0.793069438038,0.584906928447,0.143214608369,-0.0917296432699,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.15,0.59,-0.08,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.56143445312,-0.541245234375,-9.2651378125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380896982406164,28328,1596774716404303073,imu_link,0.793549888975,0.5836659706,0.142751200359,-0.0960973634782,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.08,0.6,-0.15,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,1.9535390625,-0.51251671875,-8.82463390625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897002271776,28329,1596774716424278020,imu_link,0.794063029036,0.583015591982,0.141527714418,-0.09760446442,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.0,0.53,-0.17,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,1.8340284375,-0.3018409375,-8.47491210937,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897021818828,28330,1596774716444118976,imu_link,0.794909668564,0.581866332056,0.141274671615,-0.0979370083433,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.04,0.49,-0.12,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.07343273437,-0.526689453125,-8.49406445312,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897042002230,28331,1596774716464159965,imu_link,0.795757596859,0.580770496246,0.139896479935,-0.0995211165151,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.04,0.39,-0.13,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.65719617187,-0.411775390625,-7.86203710937,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897062154286,28332,1596774716484208106,imu_link,0.79603604245,0.579829059889,0.140879491588,-0.101379728145,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.01,0.27,-0.16,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.58556640625,-1.06295507812,-7.29704296875,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897082953790,28333,1596774716504187107,imu_link,-0.796402065526,-0.579300960144,-0.140035383701,0.10268514456,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.08,0.06,-0.26,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.42775109375,-0.24898046875,-7.60846007812,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897103029330,28334,1596774716524204969,imu_link,0.797095501659,0.578911252241,0.138972082385,-0.100932074102,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.06,-0.06,-0.21,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.59514257812,-0.17696765625,-7.83330859375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897122178307,28335,1596774716544286012,imu_link,-0.797696720748,-0.578892369031,-0.136292488422,0.09993960369,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.11,-0.18,-0.2,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,2.9540575,0.01455578125,-8.33126953125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897142091880,28336,1596774716563962936,imu_link,-0.798231659318,-0.578802044684,-0.134078903277,0.099182956339,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.16,-0.2,-0.15,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.19844140625,-0.598702265625,-9.40878039062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897162162952,28337,1596774716584007024,imu_link,-0.797054288462,-0.580819819388,-0.130594328811,0.101478667381,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.14,-0.08,-0.19,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.30875890625,-0.45965625,-8.96827648437,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897182404089,28338,1596774716604029893,imu_link,-0.797570565659,-0.580183696231,-0.129072704188,0.102996642936,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.11,-0.11,-0.16,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.62936914062,-0.78524609375,-9.71521789062,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897201810817,28339,1596774716623960018,imu_link,-0.797568614037,-0.580029855098,-0.128109083841,0.105060628858,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.02,-0.05,-0.24,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.43324914062,-0.13406640625,-8.8054815625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897221566193,28340,1596774716643879890,imu_link,-0.797764197925,-0.579729213246,-0.128924740772,0.104234039711,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.01,-0.14,-0.19,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.30875890625,-0.1149140625,-9.073614375,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897241631401,28341,1596774716663851022,imu_link,-0.797771743745,-0.579733131991,-0.129513712556,0.103421171979,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,-0.01,-0.06,-0.19,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.32791125,0.047880859375,-8.71431640625,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897261700029,28342,1596774716683847904,imu_link,-0.797840968804,-0.579656851675,-0.130456946524,0.102121045369,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.01,-0.11,-0.19,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.56731554687,0.119893671875,-8.997005,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
1597380897281980332,28343,1596774716703973054,imu_link,-0.797827071695,-0.579419305001,-0.132175848758,0.101364577974,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.03,-0.11,-0.17,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,3.753859375,0.047880859375,-8.6522628125,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
