%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1597380896817381469,1523,1596774716235275983,/gps,1596774716200000000,gps
1597380897015159468,1524,1596774716436517000,/gps,1596774716400000000,gps
1597380897213673090,1525,1596774716635927915,/gps,1596774716600000000,gps
1597380897410654309,1526,1596774716831362962,/gps,1596774716800000000,gps
1597380897614763545,1527,1596774717036267042,/gps,1596774717000000000,gps
1597380897818021406,1528,1596774717238225936,/gps,1596774717200000000,gps
1597380898014536341,1529,1596774717434389114,/gps,1596774717400000000,gps
1597380898217674193,1530,1596774717638420104,/gps,1596774717600000000,gps
1597380898418744592,1531,1596774717838957071,/gps,1596774717800000000,gps
1597380898604044982,1532,1596774718026129961,/gps,1596774718000000000,gps
1597380898817146323,1533,1596774718238260030,/gps,1596774718200000000,gps
1597380899021771759,1534,1596774718442380905,/gps,1596774718400000000,gps
1597380899217747036,1535,1596774718638614892,/gps,1596774718600000000,gps
1597380899413943482,1536,1596774718835131883,/gps,1596774718800000000,gps
1597380899612355177,1537,1596774719033200025,/gps,1596774719000000000,gps
1597380899815895713,1538,1596774719236984014,/gps,1596774719200000000,gps
1597380900020016049,1539,1596774719441292047,/gps,1596774719400000000,gps
1597380900214329767,1540,1596774719636218070,/gps,1596774719600000000,gps
1597380900408291068,1541,1596774719829303979,/gps,1596774719800000000,gps
1597380900614108428,1542,1596774720035514116,/gps,1596774720000000000,gps
1597380900808402738,1543,1596774720230726003,/gps,1596774720200000000,gps
1597380901007527088,1544,1596774720430102109,/gps,1596774720400000000,gps
1597380901207905845,1545,1596774720630296945,/gps,1596774720600000000,gps
1597380901413859621,1546,1596774720833535909,/gps,1596774720800000000,gps
1597380901603462401,1547,1596774721025693893,/gps,1596774721000000000,gps
1597380901805512281,1548,1596774721227236032,/gps,1596774721200000000,gps
1597380902011796763,1549,1596774721433188915,/gps,1596774721400000000,gps
1597380902213002879,1550,1596774721633917093,/gps,1596774721600000000,gps
1597380902412134140,1551,1596774721830370903,/gps,1596774721800000000,gps
1597380902614872869,1552,1596774722034895896,/gps,1596774722000000000,gps
1597380902808744808,1553,1596774722231003046,/gps,1596774722200000000,gps
1597380903014015879,1554,1596774722435791969,/gps,1596774722400000000,gps
1597380903216979896,1555,1596774722635792016,/gps,1596774722600000000,gps
1597380903414313742,1556,1596774722835220098,/gps,1596774722800000000,gps
1597380903610589286,1557,1596774723031091928,/gps,1596774723000000000,gps
1597380903814883667,1558,1596774723235910892,/gps,1596774723200000000,gps
1597380904017409465,1559,1596774723438411951,/gps,1596774723400000000,gps
1597380904213637607,1560,1596774723634932041,/gps,1596774723600000000,gps
1597380904413252745,1561,1596774723834731101,/gps,1596774723800000000,gps
1597380904606886341,1562,1596774724028891086,/gps,1596774724000000000,gps
1597380904817011956,1563,1596774724237343072,/gps,1596774724200000000,gps
1597380905009258569,1564,1596774724430136919,/gps,1596774724400000000,gps
1597380905225452923,1565,1596774724646538972,/gps,1596774724600000000,gps
1597380905419525925,1566,1596774724838891983,/gps,1596774724800000000,gps
1597380905608241516,1567,1596774725029732942,/gps,1596774725000000000,gps
1597380905811631325,1568,1596774725233712911,/gps,1596774725200000000,gps
1597380906017512285,1569,1596774725437989950,/gps,1596774725400000000,gps
1597380906219672192,1570,1596774725640067100,/gps,1596774725600000000,gps
1597380906416319353,1571,1596774725835611104,/gps,1596774725800000000,gps
1597380906610766624,1572,1596774726031069040,/gps,1596774726000000000,gps
1597380906816743438,1573,1596774726237081050,/gps,1596774726200000000,gps
1597380907014629229,1574,1596774726434422969,/gps,1596774726400000000,gps
1597380907220963487,1575,1596774726635756969,/gps,1596774726600000000,gps
1597380907419673216,1576,1596774726839725971,/gps,1596774726800000000,gps
1597380907609081496,1577,1596774727030718088,/gps,1596774727000000000,gps
